Description	Prompt	GT
Spring4shell A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote  code execution (RCE) via data binding. The speciﬁc exploit requires the application to run on  Tomcat as a WAR deployment. If the application is deployed as a Spring Boot executable jar,  i.e. the default, it is not vulnerable to the exploit. However, the nature of the vulnerability is  more general, and there may be other ways to exploit it. CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 46 of 75 Attack An RCE can be established by simply sending a series of malicious web requests to a web  server running on a vulnerable version of Spring. Spring4Shell allows attackers to get arbitrary  code execution in the context of the user that is running the vulnerable application. Once the  attackers achieve RCE, they can install malware or can use the server as an initial foothold to  escalate privileges and compromise the whole system, or even access subsequent backend  systems that the vulnerable server has privileged access to. v 3 . 1 v 4 . 0 B a s e + T h r e a t 9.8 9.2	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: Spring4shell A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote  code execution (RCE) via data binding. The speciﬁc exploit requires the application to run on  Tomcat as a WAR deployment. If the application is deployed as a Spring Boot executable jar,  i.e. the default, it is not vulnerable to the exploit. However, the nature of the vulnerability is  more general, and there may be other ways to exploit it. CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 46 of 75 Attack An RCE can be established by simply sending a series of malicious web requests to a web  server running on a vulnerable version of Spring. Spring4Shell allows attackers to get arbitrary  code execution in the context of the user that is running the vulnerable application. Once the  attackers achieve RCE, they can install malware or can use the server as an initial foothold to  escalate privileges and compromise the whole system, or even access subsequent backend  systems that the vulnerable server has privileged access to. v 3 . 1 v 4 . 0 B a s e + T h r e a t 9.8 9.2	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N
Description Vulnerability in Oracle E-Business Suite (component: Manage Proxies). The supported version  that is aﬀected is 12.2. Easily exploitable vulnerability allows unauthenticated attacker with  network access via HTTP to compromise Oracle E-Business Suite. Successful attacks of this  vulnerability can result in unauthorized access to critical data or complete access to all Oracle  E-Business Suite accessible data. Note: Authentication is required for successful attack, however the user may be  self-registered. Oracle E-Business Suite 12.1 is not impacted by this vulnerability. Customers  should refer to the Patch Availability Document for details. v 3 . 1 v 4 . 0 B a s e 7.5 8.7	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: Description Vulnerability in Oracle E-Business Suite (component: Manage Proxies). The supported version  that is aﬀected is 12.2. Easily exploitable vulnerability allows unauthenticated attacker with  network access via HTTP to compromise Oracle E-Business Suite. Successful attacks of this  vulnerability can result in unauthorized access to critical data or complete access to all Oracle  E-Business Suite accessible data. Note: Authentication is required for successful attack, however the user may be  self-registered. Oracle E-Business Suite 12.1 is not impacted by this vulnerability. Customers  should refer to the Patch Availability Document for details. v 3 . 1 v 4 . 0 B a s e 7.5 8.7	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
In Ericsson Network Manager (ENM) releases before 21.2, users belonging to the same AMOS authorization group can retrieve the data from certain log ﬁles. All AMOS users are considered to be highly privileged users in the ENM system and all must be previously deﬁned and authorized by the Security Administrator. Those users can access some log’s ﬁles, under a common path, and read information stored in the log’s ﬁles in order to conduct privilege escalation. v 3 . 1 v 4 . 0 B a s e 4.9 6.9	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: In Ericsson Network Manager (ENM) releases before 21.2, users belonging to the same AMOS authorization group can retrieve the data from certain log ﬁles. All AMOS users are considered to be highly privileged users in the ENM system and all must be previously deﬁned and authorized by the Security Administrator. Those users can access some log’s ﬁles, under a common path, and read information stored in the log’s ﬁles in order to conduct privilege escalation. v 3 . 1 v 4 . 0 B a s e 4.9 6.9	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
Description Atlassian Conﬂuence Server and Data Center OGNL Injection Vulnerability (CVE-2022-26134) In Conﬂuence Server and Data Center, an OGNL injection vulnerability exists that would allow  an unauthenticated attacker to execute arbitrary code on a Conﬂuence Server or Data Center  instance. A remote attacker could exploit it by requests injecting specially crafted OGNL templates in  order to execute arbitrary code. v 3 . 1 v 4 . 0 B a s e 9.8 9.3	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: ) Description Atlassian Conﬂuence Server and Data Center OGNL Injection Vulnerability (CVE-2022-26134) In Conﬂuence Server and Data Center, an OGNL injection vulnerability exists that would allow  an unauthenticated attacker to execute arbitrary code on a Conﬂuence Server or Data Center  instance. A remote attacker could exploit it by requests injecting specially crafted OGNL templates in  order to execute arbitrary code. v 3 . 1 v 4 . 0 B a s e 9.8 9.3	CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:H
A vulnerability in the per-user-override feature of Cisco Adaptive Security Appliance (ASA)  Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 53 of 75 remote attacker to bypass a conﬁgured access control list (ACL) and allow traﬃc that should  be denied to ﬂow through an aﬀected device. The vulnerability is due to a logic error that  could occur when the aﬀected software constructs and applies per-user-override rules. An  attacker could exploit the vulnerability by connecting to a network through an aﬀected device  that has a vulnerable conﬁguration. A successful exploit could allow the attacker to bypass the  interface ACL and access resources that should be protected. v 3 . 1 v 4 . 0 B a s e 5.8 6.9	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: ) A vulnerability in the per-user-override feature of Cisco Adaptive Security Appliance (ASA)  Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 53 of 75 remote attacker to bypass a conﬁgured access control list (ACL) and allow traﬃc that should  be denied to ﬂow through an aﬀected device. The vulnerability is due to a logic error that  could occur when the aﬀected software constructs and applies per-user-override rules. An  attacker could exploit the vulnerability by connecting to a network through an aﬀected device  that has a vulnerable conﬁguration. A successful exploit could allow the attacker to bypass the  interface ACL and access resources that should be protected. v 3 . 1 v 4 . 0 B a s e 5.8 6.9	CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
 Description: A ﬂaw was found in JwtValidator.resolvePublicKey in JBoss EAP, where the validator checks jku  and sends a HTTP request. During this process, no whitelisting or other ﬁltering behavior is  performed on the destination URL address, which may result in a server-side request forgery  (SSRF) vulnerability. Notes: Impacts for server-side request forgery vulnerabilities may depend on both the conﬁguration  of the vulnerable system as well as the presence of other systems in the environment that  could be accessed as part of exploitation. The vulnerable system is the JBoss application server, while subsequent systems may be other  applications on the same host or diﬀerent back-end systems that are reachable by the  vulnerable application server. v 3 . 1 v 4 . 0 7.3 6.9	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: ) Description: A ﬂaw was found in JwtValidator.resolvePublicKey in JBoss EAP, where the validator checks jku  and sends a HTTP request. During this process, no whitelisting or other ﬁltering behavior is  performed on the destination URL address, which may result in a server-side request forgery  (SSRF) vulnerability. Notes: Impacts for server-side request forgery vulnerabilities may depend on both the conﬁguration  of the vulnerable system as well as the presence of other systems in the environment that  could be accessed as part of exploitation. The vulnerable system is the JBoss application server, while subsequent systems may be other  applications on the same host or diﬀerent back-end systems that are reachable by the  vulnerable application server. v 3 . 1 v 4 . 0 7.3 6.9	CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C: N/I:H/A:H
Description: In Panasonic Control FPWIN versions 7.6.0.3 and prior, a stack-based buﬀer overﬂow condition  is a condition where the buﬀer being overwritten is allocated on the stack (i.e., is a local  variable or a parameter to a function) when a ﬁle is opened within the application. v 3 . 1 v 4 . 0 7.8 8.5 CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:  H/I:H/A:H CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/  SI:N/SA:N/S:P CVSS v4 Score: Base 8.5 M e t r i c V a l u e C o m m e n t s CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 59 of 75 Attack Vector Local An attacker must be locally connected to the vulnerable  system. Attack Complexity Low No built-in security-enhancing conditions exist within the  product to inhibit successful exploitation. Attack Requirements None The attacker can execute the exploit with no speciﬁc  diﬃculty. No attack requirements are present. Privileges Required None No privileges are required for an attacker to successfully  exploit the vulnerability. User Interaction Passive A user, other than the attacker, must be present for the  vulnerability to be exploited. However, the actions taken by  the user are typical, because a user must open a ﬁle within  the vulnerable application. Vulnerable System  Conﬁdentiality High Exploitation of the vulnerability results in complete control  of the vulnerable system. Vulnerable System  Integrity High Exploitation of the vulnerability results in complete control  of the vulnerable system. Vulnerable System  Availability High Exploitation of the vulnerability results in complete control  of the vulnerable system. Subsequent System  Conﬁdentiality None The impact on conﬁdentiality is limited to the vulnerable  system. No direct downstream impact is indicated. Subsequent System  Integrity None The impact on integrity is limited to the vulnerable system.  No direct downstream impact is indicated. Subsequent System  Availability None The impact on availability is limited to the vulnerable  system. No direct downstream impact is indicated. Safety Present The impact from an attacker gaining full control of  software that is running on a programmable logic  controller (PLC) may meet the deﬁnition of IEC 61508  consequence category m a r g i n a l , c r i t i c a l or c a t a s t r o p h i c  for certain usage of the PLC in an Operational Technology  (OT) environment where humans may be harmed. CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 60 of 75 Operational Technology (OT) ( CVE-2022-47379 ) An authenticated, remote attacker may use an out-of-bounds write vulnerability in multiple  CODESYS products in multiple versions to write data into memory which can lead to a  denial-of-service condition, memory overwriting, or remote code execution. v 3 . 1 v 4 . 0 8.8 9.4	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: ) Description: In Panasonic Control FPWIN versions 7.6.0.3 and prior, a stack-based buﬀer overﬂow condition  is a condition where the buﬀer being overwritten is allocated on the stack (i.e., is a local  variable or a parameter to a function) when a ﬁle is opened within the application. v 3 . 1 v 4 . 0 7.8 8.5 CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:  H/I:H/A:H CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:H/VA:H/SC:N/  SI:N/SA:N/S:P CVSS v4 Score: Base 8.5 M e t r i c V a l u e C o m m e n t s CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 59 of 75 Attack Vector Local An attacker must be locally connected to the vulnerable  system. Attack Complexity Low No built-in security-enhancing conditions exist within the  product to inhibit successful exploitation. Attack Requirements None The attacker can execute the exploit with no speciﬁc  diﬃculty. No attack requirements are present. Privileges Required None No privileges are required for an attacker to successfully  exploit the vulnerability. User Interaction Passive A user, other than the attacker, must be present for the  vulnerability to be exploited. However, the actions taken by  the user are typical, because a user must open a ﬁle within  the vulnerable application. Vulnerable System  Conﬁdentiality High Exploitation of the vulnerability results in complete control  of the vulnerable system. Vulnerable System  Integrity High Exploitation of the vulnerability results in complete control  of the vulnerable system. Vulnerable System  Availability High Exploitation of the vulnerability results in complete control  of the vulnerable system. Subsequent System  Conﬁdentiality None The impact on conﬁdentiality is limited to the vulnerable  system. No direct downstream impact is indicated. Subsequent System  Integrity None The impact on integrity is limited to the vulnerable system.  No direct downstream impact is indicated. Subsequent System  Availability None The impact on availability is limited to the vulnerable  system. No direct downstream impact is indicated. Safety Present The impact from an attacker gaining full control of  software that is running on a programmable logic  controller (PLC) may meet the deﬁnition of IEC 61508  consequence category m a r g i n a l , c r i t i c a l or c a t a s t r o p h i c  for certain usage of the PLC in an Operational Technology  (OT) environment where humans may be harmed. CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 60 of 75 Operational Technology (OT) ( CVE-2022-47379 ) An authenticated, remote attacker may use an out-of-bounds write vulnerability in multiple  CODESYS products in multiple versions to write data into memory which can lead to a  denial-of-service condition, memory overwriting, or remote code execution. v 3 . 1 v 4 . 0 8.8 9.4	CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:C/C: H/I:H/A:H
Description: Insulet Omnipod Insulin Management System insulin pump product ID 19191 and 40160 is  designed to communicate using a wireless RF with an Insulet manufactured Personal Diabetes  Manager device. This wireless RF communication protocol does not properly implement  authentication or authorization. An attacker with access to one of the aﬀected insulin pump  models may be able to modify and/or intercept data. This vulnerability could also allow  attackers to change pump settings and control insulin delivery. v 3 . 1 v 4 . 0 B a s e 8.1	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: ) Description: Insulet Omnipod Insulin Management System insulin pump product ID 19191 and 40160 is  designed to communicate using a wireless RF with an Insulet manufactured Personal Diabetes  Manager device. This wireless RF communication protocol does not properly implement  authentication or authorization. An attacker with access to one of the aﬀected insulin pump  models may be able to modify and/or intercept data. This vulnerability could also allow  attackers to change pump settings and control insulin delivery. v 3 . 1 v 4 . 0 B a s e 8.1	CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H
Description: MIT Kerberos 5 (aka krb5) before 1.17.2 and 1.18.x before 1.18.3 allows unbounded recursion  via an ASN.1-encoded Kerberos message because the lib/krb5/asn.1/asn1_encode.c support  for BER indeﬁnite lengths lacks a recursion limit. v 3 . 1 v 4 . 0 B a s e B a s e 7.5	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: ) Description: MIT Kerberos 5 (aka krb5) before 1.17.2 and 1.18.x before 1.18.3 allows unbounded recursion  via an ASN.1-encoded Kerberos message because the lib/krb5/asn.1/asn1_encode.c support  for BER indeﬁnite lengths lacks a recursion limit. v 3 . 1 v 4 . 0 B a s e B a s e 7.5	CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H
Description: A vulnerability in the web services interface of Cisco Firepower Management Center (FMC)  Software could allow an authenticated, remote attacker to execute certain unauthorized  conﬁguration commands on a Firepower Threat Defense (FTD) device that is managed by the  FMC Software. CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 71 of 75 This vulnerability is due to insuﬃcient authorization of conﬁguration commands that are sent  through the web service interface. An attacker could exploit this vulnerability by authenticating  to the FMC web services interface and sending a crafted HTTP request to an aﬀected device. A  successful exploit could allow the attacker to execute certain conﬁguration commands on the  targeted FTD device. To successfully exploit this vulnerability, an attacker would need valid  credentials on the FMC Software. Notes: The vulnerable system is the Firepower Management Center. The subsequent systems are  devices managed by the FMC, such as FTD devices. Vulnerability impacts are then limited only  to systems managed by the FMC. For the resulting CVSS metrics, there are only subsequent  system impacts. There are no additional impacts on the vulnerable system. v 3 . 1 v 4 . 0 B a s e B a s e 9.9	Analyze the following CVE description and calculate the CVSS v3.1 Base Score. Determine the values for each base metric: AV, AC, PR, UI, S, C, I, and A. Summarize each metric's value and provide the final CVSS v3.1 vector string. Valid options for each metric are as follows: - **Attack Vector (AV)**: Network (N), Adjacent (A), Local (L), Physical (P) - **Attack Complexity (AC)**: Low (L), High (H) - **Privileges Required (PR)**: None (N), Low (L), High (H) - **User Interaction (UI)**: None (N), Required (R) - **Scope (S)**: Unchanged (U), Changed (C) - **Confidentiality (C)**: None (N), Low (L), High (H) - **Integrity (I)**: None (N), Low (L), High (H) - **Availability (A)**: None (N), Low (L), High (H) Summarize each metric's value and provide the final CVSS v3.1 vector string. Ensure the final line of your response contains only the CVSS v3 Vector String in the following format: Example format: CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H CVE Description: ) Description: A vulnerability in the web services interface of Cisco Firepower Management Center (FMC)  Software could allow an authenticated, remote attacker to execute certain unauthorized  conﬁguration commands on a Firepower Threat Defense (FTD) device that is managed by the  FMC Software. CVSS v4.0 Examples  https://www.ﬁrst.org/cvss/ 71 of 75 This vulnerability is due to insuﬃcient authorization of conﬁguration commands that are sent  through the web service interface. An attacker could exploit this vulnerability by authenticating  to the FMC web services interface and sending a crafted HTTP request to an aﬀected device. A  successful exploit could allow the attacker to execute certain conﬁguration commands on the  targeted FTD device. To successfully exploit this vulnerability, an attacker would need valid  credentials on the FMC Software. Notes: The vulnerable system is the Firepower Management Center. The subsequent systems are  devices managed by the FMC, such as FTD devices. Vulnerability impacts are then limited only  to systems managed by the FMC. For the resulting CVSS metrics, there are only subsequent  system impacts. There are no additional impacts on the vulnerable system. v 3 . 1 v 4 . 0 B a s e B a s e 9.9	CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N
