text	prompt
This threat actor targets nongovernmental organizations using Mongolian-themed lures for espionage purposes. In April 2017, CrowdStrike Falcon Intelligence observed a previously unattributed actor group with a Chinese nexus targeting a U.S.-based think tank. Further analysis revealed a wider campaign with unique tactics, techniques, and procedures (TTPs). This adversary targets non-governmental organizations (NGOs) in general, but uses Mongolian language decoys and themes, suggesting this actor has a specific focus on gathering intelligence on Mongolia. These campaigns involve the use of shared malware like Poison Ivy or PlugX. Recently, Falcon Intelligence observed new activity from [PLACEHOLDER], using a unique infection chain to target likely Mongolia-based victims. This newly observed activity uses a series of redirections and fileless, malicious implementations of legitimate tools to gain access to the targeted systems. Additionally, [PLACEHOLDER] actors reused previously-observed legitimate domains to host files. 	You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: This threat actor targets nongovernmental organizations using Mongolian-themed lures for espionage purposes. In April 2017, CrowdStrike Falcon Intelligence observed a previously unattributed actor group with a Chinese nexus targeting a U.S.-based think tank. Further analysis revealed a wider campaign with unique tactics, techniques, and procedures (TTPs). This adversary targets non-governmental organizations (NGOs) in general, but uses Mongolian language decoys and themes, suggesting this actor has a specific focus on gathering intelligence on Mongolia. These campaigns involve the use of shared malware like Poison Ivy or PlugX. Recently, Falcon Intelligence observed new activity from [PLACEHOLDER], using a unique infection chain to target likely Mongolia-based victims. This newly observed activity uses a series of redirections and fileless, malicious implementations of legitimate tools to gain access to the targeted systems. Additionally, [PLACEHOLDER] actors reused previously-observed legitimate domains to host files. 
"Since 2009, [PLACEHOLDER] actors have leveraged their capabilities to target and compromise a range of victims; some intrusions have resulted in the exfiltration of data while others have been disruptive in nature. Commercial reporting has referred to this activity as [PLACEHOLDER] Group and [PLACEHOLDER]. Tools and capabilities used by [PLACEHOLDER] actors include DDoS botnets, keyloggers, remote access tools (RATs), and wiper malware. Variants of malware and tools used by [PLACEHOLDER] actors include Destover, Duuzer, and Hangman. "	"You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: Since 2009, [PLACEHOLDER] actors have leveraged their capabilities to target and compromise a range of victims; some intrusions have resulted in the exfiltration of data while others have been disruptive in nature. Commercial reporting has referred to this activity as [PLACEHOLDER] Group and [PLACEHOLDER]. Tools and capabilities used by [PLACEHOLDER] actors include DDoS botnets, keyloggers, remote access tools (RATs), and wiper malware. Variants of malware and tools used by [PLACEHOLDER] actors include Destover, Duuzer, and Hangman. "
[PLACEHOLDER] is a criminal entity linked to the core development of the malware most commonly known as [PLACEHOLDER] or Geodo. First observed in mid-2014, this malware shared code with the Bugat (aka Feodo) banking Trojan. However, [PLACEHOLDER] swiftly developed the malware’s capabilities to include an RSA key exchange for command and control (C2) communication and a modular architecture. [PLACEHOLDER] does not follow typical criminal behavioral patterns. In particular, [PLACEHOLDER] usually conducts attacks for a few months before ceasing operations for a period of between three and 12 months, before returning with a new variant or version. After a 10 month hiatus, [PLACEHOLDER] returned [PLACEHOLDER] to operation in December 2016 but the latest variant is not deploying a banking Trojan module with web injects, it is currently acting as a ‘loader’ delivering other malware packages. The primary modules perform reconnaissance on victim machines, drop freeware tools for credential collection from web browsers and mail clients and a spam plugin for self-propagation. The malware is also issuing commands to download and execute other malware families such as the banking Trojans Dridex and Qakbot.  [PLACEHOLDER] advertised [PLACEHOLDER] on underground forums until 2015, at which time it became private. Therefore, it is highly likely that [PLACEHOLDER] is operate 	You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: [PLACEHOLDER] is a criminal entity linked to the core development of the malware most commonly known as [PLACEHOLDER] or Geodo. First observed in mid-2014, this malware shared code with the Bugat (aka Feodo) banking Trojan. However, [PLACEHOLDER] swiftly developed the malware’s capabilities to include an RSA key exchange for command and control (C2) communication and a modular architecture. [PLACEHOLDER] does not follow typical criminal behavioral patterns. In particular, [PLACEHOLDER] usually conducts attacks for a few months before ceasing operations for a period of between three and 12 months, before returning with a new variant or version. After a 10 month hiatus, [PLACEHOLDER] returned [PLACEHOLDER] to operation in December 2016 but the latest variant is not deploying a banking Trojan module with web injects, it is currently acting as a ‘loader’ delivering other malware packages. The primary modules perform reconnaissance on victim machines, drop freeware tools for credential collection from web browsers and mail clients and a spam plugin for self-propagation. The malware is also issuing commands to download and execute other malware families such as the banking Trojans Dridex and Qakbot.  [PLACEHOLDER] advertised [PLACEHOLDER] on underground forums until 2015, at which time it became private. Therefore, it is highly likely that [PLACEHOLDER] is operate 
"A 2015 report by F-Secure describe [PLACEHOLDER] as: '[PLACEHOLDER] are a well-resourced, highly dedicated and organized cyberespionage group that we believe has been working for the Russian Federation since at least 2008 to collect intelligence in support of foreign and security policy decision-making. [PLACEHOLDER] show unusual confidence in their ability to continue successfully compromising their targets, as well as in their ability to operate with impunity. [PLACEHOLDER] primarily target Western governments and related organizations, such as government ministries and agencies, political think tanks, and governmental subcontractors. Their targets have also included the governments of members of the Commonwealth of Independent States;Asian, African, and Middle Eastern governments;organizations associated with Chechen extremism;and Russian speakers engaged in the illicit trade of controlled substances and drugs. [PLACEHOLDER] are known to employ a vast arsenal of malware toolsets, which we identify as MiniDuke, CosmicDuke, OnionDuke, [PLACEHOLDER], CloudDuke, [PLACEHOLDER], HammerDuke, PinchDuke, and GeminiDuke. In recent years, [PLACEHOLDER] have engaged in apparently biannual large - scale spear - phishing campaigns against hundreds or even thousands of recipients associated with governmental institutions and affiliated organizations. These campaigns utilize a smash - and - grab approach involving a fast but noisy breakin followed by the rapid collection and exfiltration of as much data as possible.If the compromised target is discovered to be of value, [PLACEHOLDER] will quickly switch the toolset used and move to using stealthier tactics focused on persistent compromise and long - term intelligence gathering. This threat actor targets government ministries and agencies in the West, Central Asia, East Africa, and the Middle East; Chechen extremist groups; Russian organized crime; and think tanks. It is suspected to be behind the 2015 compromise of unclassified networks at the White House, Department of State, Pentagon, and the Joint Chiefs of Staff. The threat actor includes all of [PLACEHOLDER] tool sets, including MiniDuke, CosmicDuke, OnionDuke, [PLACEHOLDER], [PLACEHOLDER], CloudDuke (aka [PLACEHOLDER]), and HammerDuke (aka Hammertoss). ' "	"You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: A 2015 report by F-Secure describe [PLACEHOLDER] as: '[PLACEHOLDER] are a well-resourced, highly dedicated and organized cyberespionage group that we believe has been working for the Russian Federation since at least 2008 to collect intelligence in support of foreign and security policy decision-making. [PLACEHOLDER] show unusual confidence in their ability to continue successfully compromising their targets, as well as in their ability to operate with impunity. [PLACEHOLDER] primarily target Western governments and related organizations, such as government ministries and agencies, political think tanks, and governmental subcontractors. Their targets have also included the governments of members of the Commonwealth of Independent States;Asian, African, and Middle Eastern governments;organizations associated with Chechen extremism;and Russian speakers engaged in the illicit trade of controlled substances and drugs. [PLACEHOLDER] are known to employ a vast arsenal of malware toolsets, which we identify as MiniDuke, CosmicDuke, OnionDuke, [PLACEHOLDER], CloudDuke, [PLACEHOLDER], HammerDuke, PinchDuke, and GeminiDuke. In recent years, [PLACEHOLDER] have engaged in apparently biannual large - scale spear - phishing campaigns against hundreds or even thousands of recipients associated with governmental institutions and affiliated organizations. These campaigns utilize a smash - and - grab approach involving a fast but noisy breakin followed by the rapid collection and exfiltration of as much data as possible.If the compromised target is discovered to be of value, [PLACEHOLDER] will quickly switch the toolset used and move to using stealthier tactics focused on persistent compromise and long - term intelligence gathering. This threat actor targets government ministries and agencies in the West, Central Asia, East Africa, and the Middle East; Chechen extremist groups; Russian organized crime; and think tanks. It is suspected to be behind the 2015 compromise of unclassified networks at the White House, Department of State, Pentagon, and the Joint Chiefs of Staff. The threat actor includes all of [PLACEHOLDER] tool sets, including MiniDuke, CosmicDuke, OnionDuke, [PLACEHOLDER], [PLACEHOLDER], CloudDuke (aka [PLACEHOLDER]), and HammerDuke (aka Hammertoss). ' "
Lookout and Electronic Frontier Foundation (EFF) have discovered [PLACEHOLDER], a persistent and prolific actor, who at the time of writing is believed to be administered out of a building belonging to the Lebanese General Security Directorate in Beirut. At present, we have knowledge of hundreds of gigabytes of exfiltrated data, in 21+ countries, across thousands of victims. Stolen data includes enterprise intellectual property and personally identifiable information. 	You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: Lookout and Electronic Frontier Foundation (EFF) have discovered [PLACEHOLDER], a persistent and prolific actor, who at the time of writing is believed to be administered out of a building belonging to the Lebanese General Security Directorate in Beirut. At present, we have knowledge of hundreds of gigabytes of exfiltrated data, in 21+ countries, across thousands of victims. Stolen data includes enterprise intellectual property and personally identifiable information. 
Our analysis reveals that [PLACEHOLDER] is a capable group that has carried out cyber espionage operations since at least 2013. We assess [PLACEHOLDER] works at the behest of the Iranian government. 	You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: Our analysis reveals that [PLACEHOLDER] is a capable group that has carried out cyber espionage operations since at least 2013. We assess [PLACEHOLDER] works at the behest of the Iranian government. 
Adversary group targeting financial, technology, non-profit organisations. 	You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: Adversary group targeting financial, technology, non-profit organisations. 
[PLACEHOLDER] has likely been active since at least 2012 and focuses on targeting the public and private sectors primarily in South Korea. In 2017, [PLACEHOLDER] expanded its targeting beyond the Korean peninsula to include Japan, Vietnam and the Middle East, and to a wider range of industry verticals, including chemicals, electronics, manufacturing, aerospace, automotive and healthcare entities 	You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: [PLACEHOLDER] has likely been active since at least 2012 and focuses on targeting the public and private sectors primarily in South Korea. In 2017, [PLACEHOLDER] expanded its targeting beyond the Korean peninsula to include Japan, Vietnam and the Middle East, and to a wider range of industry verticals, including chemicals, electronics, manufacturing, aerospace, automotive and healthcare entities 
The [PLACEHOLDER] Group is an advanced threat actor whose known targets include military personnel, government officials, think tanks, and journalists in Europe and the South Caucasus. Their primary interest appears to be gathering intelligence related to foreign and security policy in the Eastern Europe and South Caucasus regions. There are currently no families associated with this actor. 	You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: The [PLACEHOLDER] Group is an advanced threat actor whose known targets include military personnel, government officials, think tanks, and journalists in Europe and the South Caucasus. Their primary interest appears to be gathering intelligence related to foreign and security policy in the Eastern Europe and South Caucasus regions. There are currently no families associated with this actor. 
"Since 2009, [PLACEHOLDER] actors have leveraged their capabilities to target and compromise a range of victims; some intrusions have resulted in the exfiltration of data while others have been disruptive in nature. Commercial reporting has referred to this activity as [PLACEHOLDER] Group and [PLACEHOLDER]. Tools and capabilities used by [PLACEHOLDER] actors include DDoS botnets, keyloggers, remote access tools (RATs), and wiper malware. Variants of malware and tools used by [PLACEHOLDER] actors include Destover, Duuzer, and Hangman. "	"You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: Since 2009, [PLACEHOLDER] actors have leveraged their capabilities to target and compromise a range of victims; some intrusions have resulted in the exfiltration of data while others have been disruptive in nature. Commercial reporting has referred to this activity as [PLACEHOLDER] Group and [PLACEHOLDER]. Tools and capabilities used by [PLACEHOLDER] actors include DDoS botnets, keyloggers, remote access tools (RATs), and wiper malware. Variants of malware and tools used by [PLACEHOLDER] actors include Destover, Duuzer, and Hangman. "
A Russian group that collects intelligence on the energy industry. There are currently no families associated with this actor. 	You are given a threat report that describes a cyber incident. Any direct mentions of the threat actor group, specific campaign names, or malware names responsible have been replaced with [PLACEHOLDER]. Your task is to analyze the report and attribute the incident to a known threat actor based on the techniques, tactics, procedures (TTPs), and any other relevant information described. your response should contain only the name of the threat actor without any other text or introduction. Threat Report: A Russian group that collects intelligence on the energy industry. There are currently no families associated with this actor. 
